"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P43","No sabe",0.084,0.181,0.02,0.195,0.074,0.169,0.07,0.086,0.307
"P44","Patricia Bullrich por Juntos por el Cambio",0.129,0.907,0.692,0.545,0.146,0.752,0.051,0.124,0.116
"P44","Axel Kicillof por el Frente de Todos",0.758,0.042,0.066,0.098,0.76,0.029,0.695,0.417,0.589
"P44","En blanco",0.036,0.023,0.148,0.213,0.053,0.144,0.231,0.431,0.071
"P44","No sabe",0.077,0.028,0.094,0.144,0.041,0.075,0.023,0.028,0.224
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.139,0.651,0.822,0.378,0.131,0.512,0.061,0.104,0.134
"P45","Axel Kicillof por el Frente de Todos",0.759,0.038,0.071,0.062,0.784,0.023,0.693,0.394,0.574
"P45","En blanco",0.032,0.145,0.062,0.391,0.064,0.299,0.202,0.388,0.059
"P45","No sabe",0.07,0.166,0.045,0.169,0.021,0.166,0.044,0.114,0.233
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.219,0.491,0.798,0.129,0.143,0.226,0.1,0.094,0.173
"P46","Javier Milei por los liberales libertarios",0.115,0.263,0.078,0.668,0.233,0.615,0.097,0.106,0.108
"P46","En blanco",0.459,0.103,0.1,0.109,0.412,0.071,0.712,0.694,0.318
"P46","No sabe",0.207,0.143,0.024,0.094,0.212,0.088,0.091,0.106,0.401
"P47","Patricia Bullrich por Juntos por el Cambio",0.135,0.874,0.656,0.11,0.131,0.424,0.061,0.144,0.13
"P47","Javier Milei por los liberales libertarios",0.055,0.065,0.104,0.752,0.1,0.534,0.086,0.067,0.055
"P47","En blanco",0.627,0.026,0.165,0.075,0.556,0.024,0.729,0.671,0.424
"P47","No sabe",0.183,0.035,0.075,0.063,0.213,0.018,0.124,0.118,0.391
"P48","Javier Milei por los liberales libertarios",0.045,0.551,0.315,0.742,0.124,0.721,0.067,0.111,0.049
"P48","Sergio Massa por el Frente de Todos",0.753,0.046,0.126,0.152,0.77,0.098,0.528,0.242,0.475
"P48","En blanco",0.127,0.208,0.329,0.061,0.081,0.086,0.364,0.566,0.182
"P48","No sabe",0.075,0.195,0.23,0.045,0.025,0.095,0.041,0.081,0.294
"P49","Javier Milei por los liberales libertarios",0.045,0.54,0.333,0.83,0.082,0.778,0.059,0.108,0.078
"P49","Wado de Pedro  por el Frente de Todos",0.804,0.029,0.085,0.072,0.781,0.027,0.706,0.344,0.606
"P49","En blanco",0.074,0.235,0.317,0.065,0.059,0.09,0.226,0.418,0.098
"P49","No sabe",0.077,0.196,0.265,0.033,0.078,0.105,0.009,0.13,0.218
"P50","Javier Milei por los liberales libertarios",0.055,0.537,0.315,0.828,0.086,0.776,0.057,0.114,0.069
"P50","Daniel Scioli por el Frente de Todos",0.732,0.042,0.106,0.082,0.778,0.036,0.535,0.288,0.526
"P50","En blanco",0.121,0.239,0.323,0.039,0.068,0.096,0.342,0.516,0.148
"P50","No sabe",0.092,0.182,0.256,0.051,0.068,0.092,0.066,0.082,0.257
"P51","Javier Milei por los liberales libertarios",0.062,0.553,0.416,0.828,0.112,0.789,0.059,0.134,0.061
"P51","Axel Kicillof por el Frente de Todos",0.788,0.038,0.084,0.075,0.787,0.017,0.681,0.359,0.629
"P51","En blanco",0.074,0.225,0.381,0.049,0.069,0.104,0.225,0.432,0.098
"P51","No sabe",0.076,0.184,0.119,0.048,0.032,0.09,0.035,0.075,0.212
"P52","Lo votaría",0.567,0.103,0.162,0.187,0.553,0.111,0.144,0.075,0.14
"P52","Puede que lo vote",0.278,0.029,0.089,0.049,0.281,0.048,0.334,0.195,0.361
"P52","Nunca lo votaría",0.102,0.805,0.642,0.718,0.136,0.802,0.481,0.595,0.253
"P52","No sabe",0.053,0.063,0.107,0.046,0.03,0.039,0.041,0.135,0.246
"P53","Lo votaría",0.654,0.032,0.1,0.061,0.682,0.047,0.538,0.338,0.481
"P53","Puede que lo vote",0.174,0.027,0.133,0.041,0.112,0.039,0.185,0.1,0.158
"P53","Nunca lo votaría",0.126,0.902,0.681,0.857,0.156,0.891,0.27,0.42,0.215
"P53","No sabe",0.046,0.039,0.086,0.041,0.05,0.023,0.007,0.142,0.146
"P54","Lo votaría",0.401,0.03,0.096,0.067,0.497,0.034,0.136,0.159,0.273
"P54","Puede que lo vote",0.33,0.049,0.098,0.071,0.283,0.051,0.33,0.235,0.262
"P54","Nunca lo votaría",0.18,0.884,0.719,0.816,0.156,0.895,0.448,0.487,0.286
"P54","No sabe",0.089,0.037,0.087,0.046,0.064,0.02,0.086,0.119,0.179
"P55","Lo votaría",0.652,0.029,0.044,0.037,0.73,0.028,0.573,0.393,0.488
"P55","Puede que lo vote",0.152,0.033,0.077,0.042,0.098,0.023,0.142,0.062,0.14
"P55","Nunca lo votaría",0.153,0.913,0.851,0.897,0.166,0.93,0.261,0.441,0.232
"P55","No sabe",0.043,0.025,0.028,0.024,0.006,0.019,0.024,0.104,0.14
"P56","La votaría",0.133,0.835,0.385,0.211,0.199,0.513,0.059,0.092,0.101
"P56","Puede que la vote",0.098,0.047,0.291,0.419,0.041,0.229,0.022,0.096,0.082
"P56","Nunca la votaría",0.733,0.117,0.249,0.325,0.728,0.239,0.919,0.702,0.671
"P56","No sabe",0.036,0.001,0.075,0.045,0.032,0.019,0,0.11,0.146
"P57","Lo votaría",0.113,0.354,0.732,0.11,0.071,0.192,0.014,0.136,0.08
"P57","Puede que lo vote",0.096,0.373,0.135,0.19,0.095,0.305,0.025,0.045,0.129
"P57","Nunca lo votaría",0.743,0.222,0.047,0.631,0.797,0.449,0.875,0.681,0.646
"P57","No sabe",0.048,0.051,0.086,0.069,0.037,0.054,0.086,0.138,0.145
"P58","Lo votaría",0.037,0.18,0.273,0.716,0.045,0.544,0.005,0.144,0.036
"P58","Puede que lo vote",0.059,0.413,0.181,0.103,0.101,0.217,0.046,0.05,0.073
"P58","Nunca lo votaría",0.857,0.336,0.446,0.165,0.807,0.203,0.903,0.705,0.784
"P58","No sabe",0.047,0.071,0.1,0.016,0.047,0.036,0.046,0.101,0.107
"P59","Lo votaría",0.026,0.065,0.139,0.237,0.024,0.111,0.007,0.092,0.042
"P59","Puede que lo vote",0.118,0.168,0.288,0.108,0.152,0.125,0.058,0.059,0.128
"P59","Nunca lo votaría",0.774,0.676,0.412,0.561,0.742,0.699,0.91,0.713,0.628
"P59","No sabe",0.082,0.091,0.161,0.094,0.082,0.065,0.025,0.136,0.202
"P60","Lo votaría",0.031,0.169,0.234,0.151,0.119,0.195,0.021,0.07,0.013
"P60","Puede que lo vote",0.074,0.446,0.32,0.285,0.039,0.373,0.013,0.033,0.102
"P60","Nunca lo votaría",0.841,0.288,0.292,0.46,0.776,0.367,0.943,0.785,0.709
"P60","No sabe",0.054,0.097,0.154,0.104,0.066,0.065,0.023,0.112,0.176
"P61","Muy buena",0.278,0.023,0.071,0.039,0.312,0.045,0.059,0.093,0.051
"P61","Buena",0.37,0.067,0.063,0.107,0.295,0.066,0.144,0.068,0.193
"P61","Ni buena ni mala",0.226,0.104,0.174,0.147,0.256,0.091,0.28,0.184,0.415
"P61","Mala",0.051,0.162,0.272,0.192,0.068,0.145,0.274,0.22,0.16
"P61","Muy mala",0.071,0.629,0.4,0.503,0.069,0.638,0.241,0.422,0.127
"P61","No sabe",0.004,0.015,0.02,0.012,0,0.015,0.002,0.013,0.054
"P62","Muy buena",0.523,0.011,0.042,0.047,0.553,0.023,0.52,0.321,0.378
"P62","Buena",0.242,0.012,0.055,0.028,0.186,0.03,0.159,0.127,0.194
"P62","Ni buena ni mala",0.115,0.118,0.271,0.17,0.122,0.105,0.105,0.123,0.2
