"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P58","Muy buena",0.029,0.091,0.572,0.038,0.063
"P58","Buena",0.017,0.191,0.265,0.035,0.057
"P58","Ni buena ni mala",0.081,0.345,0.116,0.07,0.257
"P58","Mala",0.101,0.204,0.017,0.114,0.178
"P58","Muy mala",0.74,0.158,0.029,0.716,0.403
"P58","No sabe",0.032,0.011,0.001,0.027,0.042
"P59","Muy buena",0.349,0.031,0.104,0.207,0.129
"P59","Buena",0.277,0.043,0.059,0.162,0.109
"P59","Ni buena ni mala",0.149,0.172,0.145,0.147,0.198
"P59","Mala",0.046,0.196,0.14,0.078,0.127
"P59","Muy mala",0.133,0.508,0.475,0.36,0.381
"P59","No sabe",0.046,0.05,0.077,0.046,0.056
"P60","Muy buena",0.264,0.017,0.023,0.079,0.097
"P60","Buena",0.388,0.025,0.021,0.132,0.145
"P60","Ni buena ni mala",0.256,0.085,0.129,0.299,0.181
"P60","Mala",0.031,0.226,0.166,0.187,0.137
"P60","Muy mala",0.043,0.638,0.645,0.276,0.416
"P60","No sabe",0.018,0.009,0.016,0.027,0.024
"P61","Muy buena",0.064,0.354,0.077,0.118,0.104
"P61","Buena",0.066,0.287,0.173,0.078,0.19
"P61","Ni buena ni mala",0.077,0.164,0.288,0.09,0.188
"P61","Mala",0.138,0.076,0.162,0.148,0.112
"P61","Muy mala",0.644,0.116,0.291,0.563,0.375
"P61","No sabe",0.011,0.003,0.009,0.003,0.031
"P62","Muy buena",0.051,0.188,0.083,0.102,0.083
"P62","Buena",0.073,0.25,0.153,0.126,0.138
"P62","Ni buena ni mala",0.358,0.353,0.337,0.276,0.325
"P62","Mala",0.221,0.105,0.152,0.188,0.139
"P62","Muy mala",0.245,0.069,0.221,0.294,0.236
"P62","No sabe",0.052,0.035,0.054,0.014,0.079
"P63","Siempre",0.336,0.324,0.253,0.278,0.294
"P63","Casi siempre",0.357,0.414,0.375,0.327,0.409
"P63","Casi nunca",0.206,0.195,0.241,0.331,0.196
"P63","Nunca, pero esta es una excepción",0.101,0.067,0.131,0.064,0.101
"P64","Si",0.633,0.635,0.616,0.599,0.593
"P64","No",0.367,0.365,0.384,0.401,0.407
