"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P61","Buena",0.025,0.123,0.005,0.08,0.011
"P61","Ni buena ni mala",0.166,0.313,0.2,0.298,0.207
"P61","Mala",0.179,0.045,0.126,0.18,0.107
"P61","Muy mala",0.302,0.072,0.384,0.215,0.295
"P61","No sabe",0.312,0.258,0.281,0.168,0.367
"P62","Muy buena",0.017,0.145,0.002,0.027,0.024
"P62","Buena",0.035,0.414,0.011,0.044,0.025
"P62","Ni buena ni mala",0.037,0.265,0.042,0.201,0.085
"P62","Mala",0.124,0.079,0.108,0.438,0.159
"P62","Muy mala",0.765,0.077,0.823,0.29,0.65
"P62","No sabe",0.022,0.02,0.014,0,0.057
"P63","Muy buena",0.006,0.139,0,0.039,0.023
"P63","Buena",0.028,0.384,0.011,0.054,0.046
"P63","Ni buena ni mala",0.04,0.264,0.013,0.233,0.087
"P63","Mala",0.124,0.117,0.119,0.308,0.146
"P63","Muy mala",0.802,0.091,0.848,0.366,0.672
"P63","No sabe",0,0.005,0.009,0,0.026
"P64","Muy buena",0.036,0.691,0.009,0.136,0.084
"P64","Buena",0.016,0.131,0.012,0.228,0.032
"P64","Ni buena ni mala",0.015,0.059,0.009,0.089,0.037
"P64","Mala",0.07,0.02,0.098,0.264,0.072
"P64","Muy mala",0.861,0.099,0.86,0.283,0.76
"P64","No sabe",0.002,0,0.012,0,0.015
"P65","Muy buena",0.41,0.131,0.22,0.026,0.253
"P65","Buena",0.269,0.05,0.235,0.058,0.152
"P65","Ni buena ni mala",0.141,0.021,0.188,0.059,0.175
"P65","Mala",0.053,0.07,0.174,0.12,0.17
"P65","Muy mala",0.126,0.727,0.178,0.737,0.25
"P65","No sabe",0.001,0.001,0.005,0,0
"P66","Muy buena",0.32,0.056,0.042,0.02,0.085
"P66","Buena",0.421,0.053,0.12,0.055,0.231
"P66","Ni buena ni mala",0.167,0.074,0.216,0.077,0.298
"P66","Mala",0.043,0.153,0.272,0.128,0.255
"P66","Muy mala",0.049,0.663,0.341,0.72,0.131
"P66","No sabe",0,0.001,0.009,0,0
"P67","Muy buena",0.032,0.15,0.012,0.027,0.043
"P67","Buena",0.057,0.432,0.018,0.071,0.078
