"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P50","Agua corriente y cloacas",0.364,0.534,0.404,0.059,0.376
"P50","Energía eléctrica",0.095,0.149,0.122,0.432,0.179
"P50","Red de gas natural",0.116,0.076,0.154,0.106,0.028
"P50","Recolección de residuos",0.137,0.103,0.179,0.16,0.127
"P50","Ninguno",0.288,0.138,0.141,0.243,0.29
"P51","Los robos",0.262,0.331,0.379,0.247,0.362
"P51","El narcotráfico",0.21,0.36,0.254,0.229,0.295
"P51","La ausencia de patrulleros y personal policial",0.176,0.099,0.1,0.12,0.136
"P51","Otro",0.146,0.139,0.152,0.222,0.174
"P51","Ninguno",0.206,0.071,0.115,0.182,0.033
"P52","Muy buena",0.134,0.096,0.037,0.071,0.102
"P52","Buena",0.225,0.054,0.065,0.434,0.182
"P52","Ni buena ni mala",0.226,0.072,0.055,0.23,0.13
"P52","Mala",0.198,0.062,0.062,0.193,0.063
"P52","Muy mala",0.203,0.704,0.776,0.072,0.501
"P52","No sabe",0.014,0.012,0.005,0,0.022
"P53","Muy buena",0.141,0.347,0.154,0.018,0.128
"P53","Buena",0.106,0.26,0.194,0.061,0.205
"P53","Ni buena ni mala",0.066,0.166,0.185,0.081,0.075
"P53","Mala",0.169,0.068,0.169,0.042,0.221
"P53","Muy mala",0.518,0.141,0.269,0.798,0.371
"P53","No sabe",0,0.018,0.029,0,0
"P54","Muy buena",0.582,0.104,0.044,0.257,0.236
"P54","Buena",0.113,0.038,0.04,0.285,0.061
"P54","Ni buena ni mala",0.073,0.026,0.087,0.058,0.05
"P54","Mala",0.013,0.069,0.038,0.041,0.18
"P54","Muy mala",0.204,0.761,0.788,0.359,0.462
"P54","No sabe",0.015,0.002,0.003,0,0.011
"P55","Muy buena",0.129,0.157,0.045,0.042,0.081
"P55","Buena",0.109,0.332,0.141,0.092,0.133
"P55","Ni buena ni mala",0.132,0.24,0.233,0.057,0.211
"P55","Mala",0.16,0.125,0.198,0.125,0.166
"P55","Muy mala",0.469,0.145,0.376,0.684,0.383
"P55","No sabe",0.001,0.001,0.007,0,0.026
"P56","Muy buena",0.231,0.079,0.033,0,0.101
"P56","Buena",0.186,0.059,0.08,0.248,0.106
"P56","Ni buena ni mala",0.215,0.066,0.106,0.186,0.209
"P56","Mala",0.086,0.152,0.055,0.032,0.108
"P56","Muy mala",0.28,0.644,0.716,0.534,0.451
"P56","No sabe",0.002,0,0.01,0,0.025
